Area, RTSID, location_center_lat, location_center_lon, change_vol_year, change_area_year, dem_avg_slope, dem_aspect, dem_elevation, location
Peel, 46, 68.1026057827, -135.758147969, 6807.6959466079, 1832.4298606184, 7.0334796906, 255.5245826275, 448.7733764648, hillslope, 
Peel, 47, 68.1484207575, -135.7633409354, 12713.2815439814, 1882.5571212432, 9.7793130875, 233.3080090169, 343.1156311035, hillslope, 
Peel, 48, 68.1884022906, -135.7853014522, 946.350233536, 306.3332593739, 7.5315470695, 35.5179703757, 338.4592285156, hillslope, 
Peel, 49, 68.1534994446, -135.844140216, 19870.1634795408, 2506.363031241, 13.0984334946, 20.1889199689, 385.9607543945, hillslope, 
Peel, 50, 68.156469936, -135.859677171, 1144.5432154705, 245.0666074991, 14.9882106781, 30.7776965918, 407.3628845215, hillslope, 
Peel, 51, 68.1375609722, -135.9472447849, 702.4215994319, 228.3575206242, 10.6518068314, 1.2614437635, 497.9410705566, hillslope, 
Peel, 52, 68.1796461435, -135.9273687041, 2954.0336061227, 696.2119531225, 13.3342342377, 61.6593764744, 461.2212524414, hillslope, 
Peel, 53, 68.1662439417, -135.9019401492, 5717.4499546153, 1086.0906468711, 12.3807945251, 194.8948116226, 557.4598999023, hillslope, 
Peel, 54, 68.1621757578, -135.8973863209, 4599.4000175865, 1169.6360812458, 10.3564586639, 117.9407376415, 516.5951538086, hillslope, 
Peel, 55, 68.1348039118, -135.8953938544, 1709.1505426447, 423.2968674985, 15.2783203125, 10.9944719883, 442.181060791, hillslope, 
Peel, 56, 68.1808832174, -135.6437405202, 2702.7660138866, 462.7488781754, 15.4714250565, 86.0201728129, 238.2692565918, hillslope, 
Peel, 57, 68.1768496452, -135.6370205333, 57966.0514598946, 5572.9446140945, 11.9860038757, 91.3015904605, 262.6604614258, hillslope, 
Peel, 58, 68.1290063064, -135.5834390117, 17228.7502587438, 1898.8020668161, 12.1986198425, 293.6168828959, 279.7406005859, hillslope, 
Peel, 59, 68.1136136059, -135.5739812365, 15372.0427258382, 2259.9039998356, 13.0832042694, 303.9853283326, 367.1967163086, hillslope, 
Peel, 60, 68.1191202009, -135.5731853326, 5008.218687826, 763.0483006223, 16.2783470154, 1.226379474, 325.7134094238, hillslope, 
Peel, 61, 68.1199352044, -135.5528434177, 3212.7533730871, 597.3498557791, 9.8459310532, 269.0849448644, 379.330871582, hillslope, 
Peel, 62, 68.1421721656, -135.5269021439, 3206.8238149768, 478.9938237483, 16.0326633453, 28.1434128872, 275.9595947266, hillslope, 
Peel, 63, 68.1308544414, -135.5223623154, 6015.7729662863, 1197.0204180686, 15.3778982162, 19.5134156076, 317.0345153809, hillslope, 
Peel, 64, 68.1336576496, -135.5240358398, 3413.2464663949, 926.426038955, 14.7462921143, 1.9439099495, 306.1468505859, hillslope, 
Peel, 65, 68.1346524124, -135.5297180403, 41713.983170762, 5809.6566781561, 9.3237438202, 91.7316606721, 329.3444519043, hillslope, 
Peel, 66, 68.1381163857, -135.5499199632, 42977.896438395, 4246.4287727451, 11.6620035172, 244.312358767, 319.9963989258, hillslope, 
Peel, 67, 68.1357356897, -135.554217982, 3356.0896350402, 805.7493004138, 9.46509552, 231.9419416233, 276.8673400879, hillslope, 
Peel, 68, 68.1240503798, -135.5175773991, 14899.6906496738, 1850.0672300975, 12.7999162674, 79.4955943574, 348.9610290527, hillslope, 
Peel, 69, 68.1194588634, -135.5073507181, 12285.6275585083, 1706.6475677543, 13.0437240601, 43.7421511424, 392.3723754883, hillslope, 
Peel, 70, 68.1598348098, -135.5556034057, 11709.8714348772, 1981.8833598887, 15.0164699554, 305.7293033194, 224.3561248779, hillslope, 
Peel, 71, 68.150668565, -135.5995715619, 7485.1574225806, 1259.2153525475, 11.5973358154, 149.9376059291, 255.1105804443, hillslope, 
Peel, 72, 68.1059940722, -135.6851608183, 3739.9569000508, 646.0846924977, 13.5296144485, 346.0432141681, 326.3371582031, hillslope, 
Peel, 73, 68.1134340009, -135.6809133082, 181883.0942426919, 18497.4233118604, 10.8864850998, 174.3119439611, 330.6680297852, hillslope, 
Peel, 74, 68.1065365052, -135.6390320334, 14845.9814570213, 1678.3349483273, 12.8678665161, 131.6454058167, 255.4503936768, hillslope, 
Peel, 75, 68.1031791559, -135.6497038083, 3073.3014899743, 633.0887360394, 15.3870706558, 69.5965007353, 273.8514404297, hillslope, 
Peel, 76, 68.1082796437, -135.6605331958, 1756.64423198, 456.7150412484, 20.6539230347, 45.3833379926, 283.9958190918, hillslope, 
Peel, 77, 68.1136288086, -135.6294319503, 53972.1565616181, 9830.5127780896, 21.5754642487, 129.4351282194, 239.8071594238, hillslope, 
Peel, 78, 68.1344927997, -135.6578715803, 5476.4538612362, 1533.9870033799, 9.0609769821, 126.3413975126, 379.1836242676, hillslope, 
Peel, 79, 68.1319379169, -135.6362255032, 2940.3418059875, 538.4039104147, 13.4396591187, 12.5854344507, 281.6015319824, hillslope, 
Peel, 80, 68.1298484886, -135.6437923053, 2817.5493632877, 784.398800518, 10.8124265671, 134.0652597366, 317.0588684082, hillslope, 
Peel, 81, 68.1744779628, -135.5722423548, 8062.4557381252, 3086.539658843, 10.9310846329, 165.5208125502, 226.9388122559, hillslope, 
Peel, 82, 68.1739758606, -135.5773029465, 2361.6553512884, 1021.1108645797, 12.8544511795, 166.3591173535, 226.843963623, hillslope, 
Peel, 83, 68.1587966938, -135.5184460721, 1653.2954542691, 621.9493447894, 14.5067625046, 16.4861667853, 273.5462341309, hillslope, 
Peel, 84, 68.1890719538, -135.66900415, 22219.3410956135, 3601.7365041537, 12.1755027771, 140.8644211825, 263.5544128418, hillslope, 
Peel, 85, 68.1022435937, -135.66242903, 2858.670047499, 1035.0351036421, 12.1959924698, 183.8070041776, 277.6845092773, hillslope, 
Peel, 86, 68.1059263496, -135.6649369329, 1756.0593810778, 445.5756499984, 5.8685913086, 39.1383797836, 325.9037780762, hillslope, 
Peel, 87, 68.1317413493, -135.5648665294, 3764.5110344331, 1670.908687494, 10.7058811188, 24.7889146928, 270.3159179688, hillslope, 
Peel, 88, 68.1280571093, -135.5537468399, 4363.8667772469, 965.4139083299, 17.3495311737, 3.0180385903, 313.3563232422, hillslope, 
Peel, 89, 68.1409791822, -135.5516515279, 2084.5770309339, 724.0604312474, 13.8899278641, 345.3055267292, 297.5571899414, hillslope, 
Peel, 90, 68.1611704798, -135.6020194167, 1521.6362951173, 478.0655411441, 14.0378170013, 352.5601169847, 248.713760376, hillslope, 
Peel, 91, 68.1616094297, -135.6040152189, 2494.333431478, 673.0048880184, 14.7790927887, 108.9187212719, 252.2989807129, hillslope, 
Peel, 92, 68.1552713065, -135.5967011047, 1682.1024419738, 487.3483671857, 13.6751041412, 143.1796128233, 233.9705505371, hillslope, 
Peel, 93, 68.1537182951, -135.5983947533, 985.1622935285, 362.0302156237, 14.4260416031, 19.6971309304, 237.3700408936, hillslope, 
Peel, 94, 68.1842986473, -135.6436648986, 694.7194430822, 269.2019552074, 15.0848722458, 68.1168170572, 227.8761291504, hillslope, 
Peel, 95, 68.1157474776, -135.564903415, 4915.6555437656, 1192.8431463499, 16.0441493988, 14.1028348089, 391.7485961914, hillslope, 
Peel, 96, 68.118639121, -135.6457446288, 883.2218889153, 245.9948901033, 13.2288837433, 347.8122846265, 284.4556884766, hillslope, 
Peel, 97, 68.1143092859, -135.6892330528, 2326.1619554308, 612.6665187478, 13.2264099121, 75.142601114, 362.291595459, hillslope, 
Peel, 98, 68.1223645873, -135.6613845228, 1489.35136383, 468.7827151025, 13.7852048874, 58.4120646116, 343.8529663086, hillslope, 
Peel, 99, 68.1967058194, -135.4644867652, 4575.3419370537, 897.1851369239, 9.6741886139, 351.506093117, 104.7104034424, hillslope, 
Peel, 100, 68.1834988399, -135.4847944394, 1431.7392935415, 544.9018886439, 11.2633724213, 244.0497322512, 201.6058502197, hillslope, 
Peel, 101, 68.1947018364, -135.4861272981, 8860.8694586326, 3792.4985793093, 7.0132174492, 13.994843876600001, 127.2789764404, hillslope, 
Peel, 102, 68.044321511, -135.9200582655, 7345.2621703587, 1403.5632974949, 13.6072187424, 348.7890387819, 608.2513427734, hillslope, 
Peel, 103, 68.0793369821, -135.9324839718, 3962.0246034741, 1286.5996893704, 8.8826494217, 270.3592704582, 531.1564941406, hillslope, 
Peel, 104, 68.076261805, -135.8491575525, 7550.6987481414, 1726.6056437438, 8.1696872711, 338.0087331977, 596.5522460938, hillslope, 
Peel, 105, 68.0774742017, -135.8590273866, 9170.4259986109, 1743.3147306187, 9.2319831848, 89.2274775567, 602.7754516602, hillslope, 
Peel, 106, 68.079205092, -135.8378918418, 3669.1433964425, 1570.6541662443, 10.7113113403, 19.981460334, 574.8350219727, hillslope, 
Peel, 107, 68.0796800026, -135.7807970151, 2521.7847379077, 451.1453456234, 9.3633308411, 322.3254994949, 496.6557312012, hillslope, 
Peel, 108, 68.0880678288, -135.7753352324, 2212.702665129, 740.7695181223, 10.191649437, 332.3524603005, 483.5978088379, hillslope, 
Peel, 109, 68.0533879541, -135.7569079275, 5573.0243883808, 1787.8722956186, 8.1785039902, 24.3890335661, 520.7614135742, hillslope, 
Peel, 110, 68.0977412248, -135.6789153567, 109716.5237235991, 5909.9111994058, 11.0281276703, 88.6323648266, 328.3690795898, hillslope, 
Peel, 111, 68.0948917553, -135.6801292751, 4367.3355564184, 761.655876716, 11.2115497589, 7.6910226819, 352.2426452637, hillslope, 
Peel, 112, 68.0984580592, -135.6726571714, 7492.5870616397, 1167.3153747354, 13.9197597504, 95.4313871216, 286.9822387695, hillslope, 
Peel, 113, 68.0968667154, -135.672328827, 4051.7493155379, 696.2119531225, 16.048576355, 356.5402595947, 305.119140625, hillslope, 
Peel, 114, 68.0982025773, -135.6685701881, 8132.3534521905, 1326.0517000473, 13.7100505829, 336.6670888778, 283.8430786133, hillslope, 
Peel, 115, 68.0996284462, -135.6865167715, 10969.7062296367, 1942.4313492118, 13.1528778076, 78.4882001348, 355.8515014648, hillslope, 
Peel, 116, 68.0973997229, -135.6640095325, 5341.032293482, 1255.5022221309, 16.2227306366, 12.9833291313, 306.9721374512, hillslope, 
Peel, 117, 68.097196494, -135.6612671283, 4830.0882731648, 1315.3764500994, 13.5622329712, 1.2574695007, 306.5797424316, hillslope, 
Peel, 118, 68.0810541561, -135.6559155866, 56851.7841300002, 11077.1963154809, 12.0426216125, 118.1049885845, 317.0727539062, hillslope, 
Peel, 119, 68.0850271872, -135.6478974185, 13420.2646405032, 3652.3279060806, 15.1905241013, 120.7148886803, 299.6520385742, hillslope, 
Peel, 120, 68.0761513024, -135.6746756383, 22192.6139617977, 4552.2978908169, 15.7046833038, 120.6118576165, 356.5868835449, hillslope, 
Peel, 121, 68.0316091113, -135.7144792541, 8512.4802068669, 2595.4781612406, 9.25527668, 136.0865770598, 494.3528137207, hillslope, 
Peel, 122, 68.0232721467, -135.7222216278, 22931.6829646606, 3380.8052443628, 13.0148000717, 8.9592496464, 524.9730834961, hillslope, 
Peel, 123, 68.0189812854, -135.6850928089, 28081.7036900398, 2873.9629424896, 17.2644233704, 344.9885979513, 484.1754760742, hillslope, 
Peel, 124, 68.0158943779, -135.7059449874, 9016.6780591388, 1654.199600619, 12.3865356445, 92.2620384761, 496.7251586914, hillslope, 
Peel, 125, 68.0158839077, -135.7377716425, 2859.9635750865, 935.7088649966, 13.0005521774, 46.9211895377, 599.3797607422, hillslope, 
Peel, 126, 68.0566692783, -135.733217551, 3332.8216910507, 634.9453012477, 10.6899280548, 50.9009807763, 450.4405517578, hillslope, 
Peel, 127, 68.0557300346, -135.7227591333, 4494.8354752199, 1169.6360812458, 8.2559137344, 339.9289161099, 454.0528259277, hillslope, 
Peel, 128, 68.0442336543, -135.6141545698, 24264.1190014067, 3194.220440926, 15.7937088013, 34.5189828629, 405.8377990723, hillslope, 
Peel, 130, 68.0404537745, -135.6278851039, 11620.8805272658, 2552.3130201471, 10.6875152588, 21.8252462886, 414.6137084961, hillslope, 
Peel, 131, 68.034715724, -135.6327827998, 5970.2941584231, 1185.8810268186, 14.3609924316, 318.7003091767, 435.5448608398, hillslope, 
Peel, 132, 68.0334998445, -135.6373064159, 2702.9448757119, 519.8382583315, 18.2367477417, 31.2867654925, 433.7158203125, hillslope, 
Peel, 133, 68.0342780905, -135.6498741329, 20901.7277784924, 2601.0478568656, 9.033121109, 64.4129279432, 444.5243835449, hillslope, 
Peel, 134, 68.0448333298, -135.6703893447, 11998.2866558297, 1604.0723399942, 11.1370611191, 148.894826927, 438.7249755859, hillslope, 
Peel, 135, 68.0458541362, -135.6662979138, 8320.9841856143, 941.2785606216, 16.3346309662, 39.826689724, 428.4591369629, hillslope, 
Peel, 136, 68.0458246369, -135.6833591456, 22464.2844014148, 2612.1872481156, 12.1758232117, 160.6798058887, 479.9336547852, hillslope, 
Peel, 137, 68.0548472013, -135.6712909479, 977.0965919316, 178.2302599994, 13.2571029663, 89.5252119168, 409.8858642578, hillslope, 
Peel, 138, 68.056735251, -135.6662339534, 8720.9251477742, 1164.0663856208, 11.0770807266, 76.5240591737, 374.3295593262, hillslope, 
Peel, 140, 68.0603570968, -135.6652266602, 244863.6690236474, 14202.7238436988, 15.8581962585, 118.466465004, 357.0217590332, hillslope, 
Peel, 141, 68.0618174957, -135.6939566817, 9818.3073122864, 2517.5024224909, 7.8480772972, 123.729980847, 400.3008117676, hillslope, 
Peel, 142, 68.0620269794, -135.6876961721, 8685.0114213154, 1431.4117756198, 12.6017189026, 144.2637799191, 377.4587097168, hillslope, 
Peel, 143, 68.0602749336, -135.7034125369, 3349.9118587847, 668.3634749976, 10.6369628906, 184.7672591487, 405.5252685547, hillslope, 
Peel, 144, 68.0608034454, -135.6993876822, 2348.4940813189, 668.3634749976, 11.04210186, 159.8609547121, 407.6201782227, hillslope, 
Peel, 145, 68.0513747184, -135.7355497188, 2430.8260740106, 551.399866873, 11.6030797958, 331.0938352801, 460.2385559082, hillslope, 
Peel, 146, 68.0560497925, -135.7382260715, 3791.6102405061, 991.4058212464, 9.9258995056, 354.2012665942, 464.3626098633, hillslope, 
Peel, 147, 68.0160720873, -135.6897522785, 2772.3374140101, 740.7695181223, 14.3788366318, 284.5084994169, 476.575012207, hillslope, 
Peel, 148, 68.0653133797, -135.5696943736, 15436.9690514257, 1878.3798495245, 14.4395475388, 151.3919567995, 424.6987304688, hillslope, 
Peel, 149, 68.098232143, -135.5361561188, 5884.9657574181, 1481.5390362447, 7.0752449036, 186.9347375435, 441.4306030273, hillslope, 
Peel, 150, 68.0326910221, -135.5770387868, 16919.1669337557, 2366.1923580123, 15.1863584518, 112.7020144674, 388.3125305176, hillslope, 
Peel, 151, 68.0093635955, -135.5803720149, 129069.6314271547, 16133.0875190564, 13.2905626297, 78.2057570268, 428.6911010742, hillslope, 
Peel, 152, 68.0758465125, -135.536734907, 1566.9852856271, 540.2604756231, 10.8024635315, 12.886142648, 356.6248474121, hillslope, 
Peel, 153, 68.078494563, -135.5391574032, 2055.3376020075, 654.9033772372, 9.861032486, 213.7777069392, 365.6755981445, hillslope, 
Peel, 154, 68.0374796518, -135.5949883797, 3511.3516145445, 821.5301046845, 17.3162097931, 15.1759881772, 410.8500976562, hillslope, 
Peel, 155, 68.0174992339, -135.5744167983, 2984.1500989354, 761.1917354139, 10.7172718048, 135.8556644181, 396.2704772949, hillslope, 
Peel, 156, 68.0154515593, -135.5750126463, 2544.4725335985, 756.5503223931, 11.6811637878, 52.7378957619, 398.5347290039, hillslope, 
Peel, 157, 68.0803945694, -135.5565858898, 553.6470031343, 222.7878249992, 7.6976671219, 199.4833128647, 392.5153808594, hillslope, 
Peel, 158, 68.0798449666, -135.5439810498, 2148.6627519769, 710.1361921849, 11.260219574, 104.8447086572, 367.9063110352, hillslope, 
Peel, 159, 67.9502008751, -135.7735358676, 3795.9760129709, 1164.0663856208, 10.7023792267, 186.7935419868, 584.6279907227, hillslope, 
Peel, 160, 67.9516043016, -135.7715671025, 7954.0553302228, 1954.963164368, 9.671541214, 198.2284693562, 613.2805175781, hillslope, 
Peel, 161, 67.9282972566, -135.627251428, 5952.1995032446, 1353.4360368701, 11.6858634949, 135.7901755271, 708.3355102539, hillslope, 
Peel, 162, 67.9226450008, -135.6209849678, 5212.7962330908, 1347.8663412451, 11.3812198639, 45.3639020461, 763.0191040039, hillslope, 
Peel, 163, 67.9309635934, -135.6177076541, 2498.5065105141, 707.3513443725, 9.1851272583, 119.8988310482, 674.872253418, hillslope, 
Peel, 164, 67.9321693563, -135.6116007962, 1750.4145287833, 501.2726062482, 13.116435051, 110.8654912092, 636.4794921875, hillslope, 
Peel, 165, 67.9162811266, -135.5813640866, 35579.5015480029, 4333.2231962344, 14.4310445786, 121.7788306999, 657.3870239258, hillslope, 
Peel, 166, 67.9207222022, -135.68350619, 2538.1249820242, 796.4664743721, 9.3924427032, 191.7499457419, 702.3990478516, hillslope, 
Peel, 167, 67.915480642, -135.6848809455, 8302.487656137, 1682.0480787439, 9.6080951691, 231.2349065221, 655.6280517578, hillslope, 
Peel, 168, 67.9685787365, -135.5112569839, 4497.371311677, 1116.7239728085, 8.4797391891, 3.838455574, 601.8687744141, hillslope, 
Peel, 169, 67.9785577706, -135.5741850582, 17416.8846550288, 3110.6750065513, 8.8881282806, 36.1623938118, 498.9346923828, hillslope, 
Peel, 170, 67.9691805717, -135.5902427586, 11780.905776713, 1693.1874699939, 14.2343263626, 325.0566501257, 504.0741577148, hillslope, 
Peel, 171, 67.9898086331, -135.5899347714, 1824.4149244764, 590.3877362479, 11.5454425812, 101.316223704, 435.9398498535, hillslope, 
Peel, 172, 67.9517583881, -135.7434955989, 2723.3476168594, 673.9331706226, 14.6268472672, 134.9391190952, 584.6715087891, hillslope, 
Peel, 173, 67.99651035, -135.6933076242, 5458.7987153492, 841.024039372, 14.8908557892, 338.2566921428, 570.1273193359, hillslope, 
Peel, 174, 67.9857849617, -135.6596944064, 6590.4572504255, 1643.0602093691, 8.4399347305, 145.3087127892, 638.8051757812, hillslope, 
Peel, 175, 67.9662021584, -135.6820905794, 8625.8062095206, 1359.0057324951, 14.8100614548, 182.0625195214, 513.6143798828, hillslope, 
Peel, 176, 67.9458271807, -135.4517971305, 1866.4194290254, 677.6463010392, 10.2214794159, 145.1676953126, 673.0295410156, hillslope, 
Peel, 177, 67.8462369059, -135.8596621829, 8010.9885046208, 1559.5147749944, 10.4142456055, 319.7693708784, 504.5343322754, hillslope, 
Peel, 178, 66.7604798637, -135.8114558428, 9175.9667420623, 1861.2066213475, 10.5746335983, 1.1755155366, 559.9627685547, hillslope, 
Peel, 179, 66.7729775431, -135.8106063153, 3936.8712270896, 1123.2219510376, 8.2817630768, 91.1329085083, 584.0369873047, hillslope, 
Peel, 180, 66.7257725129, -135.7789021609, 15056.8350587059, 6289.1146432065, 7.2719988823, 51.4889601408, 610.1077880859, hillslope, 
Peel, 181, 66.7278599864, -135.7744944771, 8737.0002330415, 3286.1204187382, 6.6066036224, 159.7303693426, 602.377746582, hillslope, 
Peel, 182, 66.7110802121, -135.7655045737, 7497.4911122344, 1011.828038538, 11.5155038834, 144.9948288182, 558.4950561523, hillslope, 
Peel, 183, 66.7277988636, -135.712986866, 2958.4517871208, 812.2472786429, 5.4944868088, 350.8553823061, 532.3495483398, hillslope, 
Peel, 184, 66.7230021682, -135.6883338208, 6793.8354476535, 1336.7269499952, 12.4028978348, 11.5223844391, 508.1669921875, hillslope, 
Peel, 185, 66.9601211203, -135.9961978031, 14251.6210052258, 2770.9235734275, 9.6403884888, 284.1072480212, 556.4300537109, hillslope, 
Peel, 186, 66.9901989757, -135.8648624952, 5903.4558278977, 1183.5603203082, 12.9516983032, 45.0447085688, 453.0217285156, hillslope, 
Peel, 187, 66.976017623, -135.8044379086, 11557.2355619874, 1773.0197739519, 11.384139061, 348.74886866, 475.064453125, hillslope, 
Peel, 188, 66.9765281707, -135.5896849639, 86640.3611552569, 7251.7437037239, 11.3218631744, 153.362928182, 374.0909729004, hillslope, 
Peel, 189, 66.9737983278, -135.5208718241, 4079.968959394, 1158.4966899958, 9.0894136429, 277.1927264458, 343.1220092773, hillslope, 
Peel, 190, 66.9687372129, -135.5031784529, 3489.81561677, 874.4422131218, 8.1642332077, 343.2795970435, 376.8901062012, hillslope, 
Peel, 191, 66.9405200725, -135.5376138355, 69540.957224599, 7457.8224418481, 10.0428724289, 180.6775487633, 373.9755249023, hillslope, 
Peel, 192, 66.9948649289, -135.392737276, 17972.4071471012, 3391.9446356128, 15.4956455231, 345.0878587907, 282.2291259766, hillslope, 
Peel, 193, 66.96032642750001, -135.2918154512, 87244.2529557752, 1086.0906468711, 29.6040554047, 293.3952721526, 309.3160705566, hillslope, 
Peel, 194, 66.932712702, -135.2814310281, 76556.5944802741, 9685.7006918401, 14.8160486221, 214.4514574318, 342.8503112793, hillslope, 
Peel, 195, 66.9293276618, -135.3367673127, 7930.6229367546, 1353.4360368701, 16.8446750641, 156.9650046407, 372.9596252441, hillslope, 
Peel, 196, 66.9207263375, -135.3616196225, 42527.2610278002, 5937.2955362286, 14.0054550171, 2.3410616645, 349.7491149902, hillslope, 
Peel, 198, 66.9258284097, -135.2553502563, 122511.0504631017, 2506.363031241, 26.0896053314, 242.9988531661, 335.8307495117, hillslope, 
Peel, 199, 66.9225099739, -135.2334161776, 5775.9574246944, 796.4664743721, 23.4912376404, 208.7908443536, 258.8117980957, hillslope, 
